,open,high,low,close,volume
2023-09-25 08:00:00+00:00,1.06379,1.0643,1.06241,1.06256,20036.56
2023-09-25 09:00:00+00:00,1.06257,1.06369,1.06239,1.06346,15735.9
2023-09-25 10:00:00+00:00,1.06347,1.06417,1.06339,1.06372,11091.59
2023-09-25 11:00:00+00:00,1.06374,1.06435,1.06292,1.06305,9488.18
2023-09-25 12:00:00+00:00,1.06303,1.06346,1.06192,1.06221,13930.94
2023-09-25 13:00:00+00:00,1.06221,1.06243,1.05958,1.06019,22776.47
2023-09-25 14:00:00+00:00,1.0602,1.06069,1.05753,1.05773,25599.58
2023-09-25 15:00:00+00:00,1.05775,1.05928,1.0576,1.05901,15548.72
2023-09-25 16:00:00+00:00,1.059,1.05962,1.05876,1.05891,9785.08
2023-09-25 17:00:00+00:00,1.0589,1.05973,1.05886,1.05948,4910.07
2023-09-25 18:00:00+00:00,1.05948,1.05986,1.05856,1.0587,4551.29
2023-09-25 19:00:00+00:00,1.0587,1.05933,1.05854,1.05928,4975.23
2023-09-25 20:00:00+00:00,1.05927,1.05947,1.05909,1.05924,3092.32
2023-09-25 21:00:00+00:00,1.05923,1.05933,1.059,1.05922,1567.89
2023-09-25 22:00:00+00:00,1.05923,1.05966,1.05917,1.05938,4698.2
2023-09-25 23:00:00+00:00,1.05937,1.05952,1.05912,1.05912,1866.13
2023-09-26 00:00:00+00:00,1.05912,1.05919,1.05806,1.05843,7795.12
2023-09-26 01:00:00+00:00,1.05843,1.05877,1.05834,1.05864,6249.19
2023-09-26 02:00:00+00:00,1.05862,1.05874,1.05798,1.05799,4953.79
2023-09-26 03:00:00+00:00,1.058,1.05866,1.05783,1.05858,5890.01
2023-09-26 04:00:00+00:00,1.05857,1.05928,1.05843,1.05925,4348.18
2023-09-26 05:00:00+00:00,1.05924,1.05929,1.0582,1.05877,6635.1
2023-09-26 06:00:00+00:00,1.05878,1.05888,1.0571,1.05716,11638.29
2023-09-26 07:00:00+00:00,1.05715,1.05886,1.05699,1.05849,16549.48
2023-09-26 08:00:00+00:00,1.05849,1.05999,1.05827,1.05959,17369.26
2023-09-26 09:00:00+00:00,1.05959,1.0603,1.05933,1.05972,11230.97
